Source,Target,weight
Bronn,Catelyn-Stark,6
Meera-Reed,Rickon-Stark,6
Catelyn-Stark,Rickon-Stark,6
Hodor,Robb-Stark,5
Meera-Reed,Samwell-Tarly,5
Arya-Stark,Ramsay-Snow,5
Arya-Stark,Tommen-Baratheon,5
Jojen-Reed,Rickon-Stark,5
Joffrey-Baratheon,Mance-Rayder,5
Daenerys-Targaryen,Eddard-Stark,5
Brienne-of-Tarth,Robb-Stark,5
Brienne-of-Tarth,Stannis-Baratheon,5
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,5
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,5
Jaime-Lannister,Theon-Greyjoy,4
Eddard-Stark,Ramsay-Snow,4
Jeor-Mormont,Robert-Baratheon,4
Bran-Stark,Jeor-Mormont,4
Jeor-Mormont,Mance-Rayder,4
Davos-Seaworth,Eddard-Stark,4
Luwin,Meera-Reed,4
Brienne-of-Tarth,Joffrey-Baratheon,4
Robb-Stark,Samwell-Tarly,4
Rickon-Stark,Tyrion-Lannister,4
Renly-Baratheon,Tywin-Lannister,3
Theon-Greyjoy,Tyrion-Lannister,3
Theon-Greyjoy,Tywin-Lannister,3
Robb-Stark,Varys,3
Drogo,Robert-Baratheon,3
Bran-Stark,Renly-Baratheon,3
Cersei-Lannister,Daenerys-Targaryen,3
Davos-Seaworth,Robb-Stark,3
Brienne-of-Tarth,Robert-Baratheon,3
Brienne-of-Tarth,Tommen-Baratheon,3
Bronn,Stannis-Baratheon,3
Brienne-of-Tarth,Tywin-Lannister,3
Arya-Stark,Mance-Rayder,3
Luwin,Tommen-Baratheon,3
Jeor-Mormont,Jorah-Mormont,3
Jaime-Lannister,Jon-Snow,3
