,Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Barristan-Selmy,Bran-Stark,Brienne-of-Tarth,Bronn,Catelyn-Stark,Cersei-Lannister,Daenerys-Targaryen,Davos-Seaworth,Drogo,Eddard-Stark,Gregor-Clegane,Hodor,Jaime-Lannister,Jeor-Mormont,Joffrey-Baratheon,Jon-Snow,Jorah-Mormont,Loras-Tyrell,Luwin,Lysa-Arryn,Mance-Rayder,Margaery-Tyrell,Melisandre,Petyr-Baelish,Pycelle,Renly-Baratheon,Rickon-Stark,Robb-Stark,Robert-Baratheon,Samwell-Tarly,Sandor-Clegane,Sansa-Stark,Stannis-Baratheon,Theon-Greyjoy,Tommen-Baratheon,Tyrion-Lannister,Tywin-Lannister,Varys
Drogo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddard-Stark,0.0,46.0,28.0,34.0,0.0,0.0,88.0,91.0,5.0,4.0,0.0,0.0,13.0,0.0,33.0,0.0,41.0,65.0,0.0,12.0,19.0,12.0,0.0,0.0,0.0,85.0,36.0,38.0,15.0,46.0,334.0,0.0,14.0,43.0,32.0,31.0,0.0,40.0,18.0,64.0
Gregor-Clegane,0.0,10.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,4.0,0.0,31.0,5.0,0.0,0.0,0.0,30.0,20.0,0.0
Hodor,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime-Lannister,0.0,13.0,8.0,0.0,111.0,0.0,59.0,130.0,0.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,45.0,3.0,0.0,37.0,0.0,9.0,0.0,10.0,0.0,11.0,10.0,28.0,0.0,41.0,69.0,0.0,21.0,23.0,12.0,4.0,36.0,113.0,51.0,19.0
Jeor-Mormont,25.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
Joffrey-Baratheon,0.0,53.0,13.0,6.0,4.0,12.0,11.0,173.0,0.0,10.0,0.0,41.0,12.0,0.0,45.0,0.0,0.0,14.0,0.0,18.0,0.0,0.0,5.0,56.0,4.0,39.0,19.0,25.0,0.0,49.0,64.0,0.0,71.0,222.0,45.0,0.0,77.0,219.0,37.0,37.0
Jon-Snow,110.0,71.0,0.0,90.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,65.0,0.0,0.0,3.0,174.0,14.0,0.0,0.0,0.0,10.0,0.0,112.0,0.0,57.0,0.0,0.0,0.0,16.0,91.0,29.0,228.0,0.0,11.0,91.0,16.0,0.0,56.0,0.0,0.0
Jorah-Mormont,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
Loras-Tyrell,0.0,0.0,0.0,0.0,6.0,0.0,6.0,24.0,0.0,0.0,0.0,12.0,10.0,0.0,37.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,5.0,0.0,27.0,0.0,0.0,7.0,0.0,4.0,27.0,4.0,0.0,13.0,21.0,0.0,0.0
Luwin,0.0,0.0,0.0,116.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,10.0,0.0,0.0
Lysa-Arryn,0.0,0.0,0.0,0.0,3.0,0.0,55.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,41.0,4.0,0.0,0.0,36.0,4.0,0.0
Mance-Rayder,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0
Margaery-Tyrell,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,56.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,5.0,0.0,0.0,41.0,0.0,0.0,51.0,10.0,0.0,3.0
Melisandre,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
Petyr-Baelish,0.0,3.0,7.0,3.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0,85.0,3.0,0.0,11.0,0.0,39.0,0.0,0.0,5.0,0.0,47.0,0.0,0.0,0.0,0.0,26.0,17.0,0.0,6.0,30.0,0.0,3.0,61.0,8.0,0.0,0.0,71.0,5.0,60.0
Pycelle,0.0,0.0,8.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,36.0,6.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.0,0.0,0.0,29.0,0.0,0.0,8.0,12.0,0.0,0.0,33.0,13.0,35.0
Renly-Baratheon,0.0,0.0,13.0,3.0,37.0,0.0,55.0,12.0,0.0,6.0,0.0,38.0,0.0,0.0,28.0,0.0,25.0,0.0,0.0,27.0,0.0,0.0,0.0,19.0,4.0,17.0,7.0,0.0,0.0,25.0,80.0,0.0,7.0,16.0,110.0,0.0,0.0,23.0,3.0,18.0
Rickon-Stark,0.0,20.0,0.0,129.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,4.0,0.0,0.0
Robb-Stark,0.0,44.0,0.0,169.0,5.0,0.0,128.0,15.0,0.0,3.0,0.0,46.0,4.0,5.0,41.0,0.0,49.0,91.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,0.0,25.0,53.0,0.0,9.0,4.0,0.0,44.0,22.0,76.0,0.0,44.0,30.0,3.0
Robert-Baratheon,5.0,17.0,51.0,11.0,3.0,0.0,27.0,134.0,26.0,0.0,3.0,334.0,4.0,0.0,69.0,4.0,64.0,29.0,10.0,7.0,0.0,8.0,0.0,5.0,0.0,30.0,29.0,80.0,0.0,9.0,0.0,0.0,14.0,35.0,68.0,0.0,12.0,42.0,29.0,44.0
Samwell-Tarly,99.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,228.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Sandor-Clegane,0.0,58.0,3.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0,0.0,14.0,31.0,0.0,21.0,0.0,71.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,53.0,0.0,0.0,5.0,25.0,0.0,0.0
Sansa-Stark,0.0,155.0,3.0,25.0,24.0,0.0,32.0,95.0,0.0,0.0,0.0,43.0,5.0,0.0,23.0,0.0,222.0,11.0,0.0,27.0,0.0,41.0,0.0,41.0,0.0,61.0,8.0,16.0,20.0,44.0,35.0,0.0,53.0,0.0,11.0,0.0,13.0,118.0,6.0,8.0
Stannis-Baratheon,12.0,0.0,0.0,0.0,5.0,3.0,24.0,42.0,0.0,131.0,0.0,32.0,0.0,0.0,12.0,0.0,45.0,91.0,0.0,4.0,0.0,4.0,16.0,0.0,87.0,8.0,12.0,110.0,0.0,22.0,68.0,37.0,0.0,11.0,0.0,10.0,16.0,52.0,30.0,10.0
Theon-Greyjoy,0.0,7.0,0.0,64.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,27.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,76.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0
Tommen-Baratheon,0.0,5.0,0.0,8.0,3.0,7.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,77.0,0.0,0.0,13.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,13.0,16.0,0.0,0.0,26.0,11.0,0.0
Tyrion-Lannister,0.0,11.0,3.0,31.0,7.0,137.0,69.0,209.0,17.0,0.0,0.0,40.0,30.0,0.0,113.0,27.0,219.0,56.0,27.0,21.0,10.0,36.0,0.0,10.0,0.0,71.0,33.0,23.0,4.0,44.0,42.0,0.0,25.0,118.0,52.0,3.0,26.0,0.0,117.0,107.0
Tywin-Lannister,0.0,13.0,0.0,0.0,3.0,7.0,21.0,57.0,0.0,0.0,0.0,18.0,20.0,0.0,51.0,0.0,37.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,13.0,3.0,0.0,30.0,29.0,0.0,0.0,6.0,30.0,3.0,11.0,117.0,0.0,9.0
Varys,0.0,0.0,15.0,0.0,0.0,12.0,10.0,53.0,8.0,0.0,0.0,64.0,0.0,0.0,19.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,60.0,35.0,18.0,0.0,3.0,44.0,0.0,0.0,8.0,10.0,0.0,0.0,107.0,9.0,0.0
